pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,src_port,dst_port,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps
944,942,1722031320657855,458571264,1722031321116426.2,944,1,1.0,0.9978813559322034,5.481897967964871e-07,1,UDP,443,38125,942,942,7.536,7.536,15.072
945,87,1722031320658088,459654400,1722031321117742.5,945,1,1.0,0.09206349206349207,5.487705063265724e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
946,1242,1722031320661164,461386752,1722031321122550.8,946,1,1.0,1.3128964059196617,5.493512158555428e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
947,942,1722031320661165,462824448,1722031321123989.5,947,1,1.0,0.9947201689545935,5.49931925385586e-07,1,UDP,443,38125,942,942,7.536,7.536,15.072
948,87,1722031320661755,463512576,1722031321125267.5,948,1,1.0,0.09177215189873418,5.505126349156797e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
949,1242,1722031320664434,465808640,1722031321130242.8,949,1,1.0,1.3087460484720759,5.510933444445893e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
950,942,1722031320664434,467433728,1722031321131867.8,950,1,1.0,0.991578947368421,5.516740539745688e-07,1,UDP,443,38125,942,942,7.536,7.536,15.072
951,87,1722031320664927,468107008,1722031321133034.0,951,1,1.0,0.0914826498422713,5.522547635046943e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
952,1242,1722031320671450,470115584,1722031321141565.5,952,1,1.0,1.3046218487394958,5.528354730324546e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
953,942,1722031320671450,471640576,1722031321143090.5,953,1,1.0,0.9884575026232949,5.534161825624607e-07,1,UDP,443,38125,942,942,7.536,7.536,15.072
954,1242,1722031320671450,473296128,1722031321144746.2,954,1,1.0,1.3018867924528301,5.539968920924237e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
955,942,1722031320671450,476615424,1722031321148065.5,955,1,1.0,0.9863874345549738,5.5457760162185e-07,1,UDP,443,38125,942,942,7.536,7.536,15.072
956,87,1722031320671757,477876224,1722031321149633.2,956,1,1.0,0.09100418410041841,5.551583111518388e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
957,1242,1722031320677571,479600384,1722031321157171.5,957,1,1.0,1.297805642633229,5.557390206798995e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
958,942,1722031320677571,481128192,1722031321158699.2,958,1,1.0,0.9832985386221295,5.56319730209897e-07,1,UDP,443,38125,942,942,7.536,7.536,15.072
959,1242,1722031320677571,482746624,1722031321160317.5,959,1,1.0,1.2950990615224192,5.569004397398641e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
960,942,1722031320677571,484122624,1722031321161693.5,960,1,1.0,0.98125,5.574811492699086e-07,1,UDP,443,38125,942,942,7.536,7.536,15.072
961,87,1722031320677972,484747264,1722031321162719.2,961,1,1.0,0.09053069719042664,5.580618588000657e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
962,1242,1722031320680753,486462976,1722031321167216.0,962,1,1.0,1.291060291060291,5.58642568329096e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
963,942,1722031320680753,487932416,1722031321168685.5,963,1,1.0,0.9781931464174455,5.592232778591065e-07,1,UDP,443,38125,942,942,7.536,7.536,15.072
964,87,1722031320681411,488547584,1722031321169958.5,964,1,1.0,0.09024896265560166,5.598039873891798e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
965,1242,1722031320684058,490567168,1722031321174625.2,965,1,1.0,1.2870466321243523,5.603846969181479e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
966,942,1722031320684058,492531712,1722031321176589.8,966,1,1.0,0.9751552795031055,5.60965406447993e-07,1,UDP,443,38125,942,942,7.536,7.536,15.072
967,87,1722031320684256,493302528,1722031321177558.5,967,1,1.0,0.08996897621509824,5.615461159781615e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
968,1242,1722031320687398,495745792,1722031321183143.8,968,1,1.0,1.2830578512396693,5.621268255068225e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
969,942,1722031320687398,497448448,1722031321184846.5,969,1,1.0,0.9721362229102167,5.627075350367484e-07,1,UDP,443,38125,942,942,7.536,7.536,15.072
970,87,1722031320687650,498322176,1722031321185972.2,970,1,1.0,0.08969072164948454,5.632882445668618e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
971,1242,1722031320693802,500406016,1722031321194208.0,971,1,1.0,1.279093717816684,5.638689540946463e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
972,974,1722031320693802,502709248,1722031321196511.2,972,1,1.0,1.0020576131687242,5.644496636243699e-07,1,UDP,443,38125,974,974,7.792,7.792,15.584
973,1242,1722031320693802,504438016,1722031321198240.0,973,1,1.0,1.276464542651593,5.650303731542803e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
974,974,1722031320693802,506370304,1722031321200172.2,974,1,1.0,1.0,5.656110826841229e-07,1,UDP,443,38125,974,974,7.792,7.792,15.584
975,87,1722031320694098,507113984,1722031321201212.0,975,1,1.0,0.08923076923076922,5.661917922142576e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
976,1242,1722031320735736,508769280,1722031321244505.2,976,1,1.0,1.2725409836065573,5.667725017304846e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
977,974,1722031320735736,510377216,1722031321246113.2,977,1,1.0,0.9969293756397134,5.673532112604163e-07,1,UDP,443,38125,974,974,7.792,7.792,15.584
978,87,1722031320736058,511029760,1722031321247087.8,978,1,1.0,0.08895705521472393,5.67933920790556e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
979,1242,1722031320742238,512597248,1722031321254835.2,979,1,1.0,1.268641470888662,5.685146303184588e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
980,974,1722031320742239,513999104,1722031321256238.0,980,1,1.0,0.9938775510204082,5.690953398484534e-07,1,UDP,443,38125,974,974,7.792,7.792,15.584
981,87,1722031320742463,514778880,1722031321257242.0,981,1,1.0,0.08868501529051988,5.696760493785789e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
982,1242,1722031320745473,516360960,1722031321261834.0,982,1,1.0,1.264765784114053,5.702567589075155e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
983,974,1722031320745473,517824768,1722031321263297.8,983,1,1.0,0.9908443540183113,5.708374684374859e-07,1,UDP,443,38125,974,974,7.792,7.792,15.584
984,87,1722031320745845,518491904,1722031321264337.0,984,1,1.0,0.08841463414634146,5.714181779675964e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
985,1242,1722031320752050,520261376,1722031321272311.5,985,1,1.0,1.2609137055837563,5.719988874954024e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
986,974,1722031320752050,521723136,1722031321273773.2,986,1,1.0,0.9878296146044625,5.725795970253686e-07,1,UDP,443,38125,974,974,7.792,7.792,15.584
987,1242,1722031320752050,523960832,1722031321276010.8,987,1,1.0,1.2583586626139818,5.731603065550755e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
988,974,1722031320752050,526006528,1722031321278056.5,988,1,1.0,0.9858299595141701,5.737410160848449e-07,1,UDP,443,38125,974,974,7.792,7.792,15.584
989,87,1722031320752276,526983936,1722031321279260.0,989,1,1.0,0.08796764408493428,5.743217256148937e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
990,1242,1722031320755202,528984576,1722031321284186.5,990,1,1.0,1.2545454545454546,5.749024351436988e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
991,1006,1722031320755202,530757120,1722031321285959.0,991,1,1.0,1.0151362260343089,5.754831446735547e-07,1,UDP,443,38125,1006,1006,8.048,8.048,16.096
992,1242,1722031320755202,532522752,1722031321287724.8,992,1,1.0,1.252016129032258,5.760638542034115e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
993,87,1722031320755454,533489664,1722031321288943.8,993,1,1.0,0.08761329305135952,5.766445637334504e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
994,1006,1722031320758482,535363072,1722031321293845.0,994,1,1.0,1.012072434607646,5.77225273262254e-07,1,UDP,443,38125,1006,1006,8.048,8.048,16.096
995,1242,1722031320758482,536986624,1722031321295468.5,995,1,1.0,1.2482412060301507,5.778059827921542e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
996,1006,1722031320758482,538687232,1722031321297169.2,996,1,1.0,1.0100401606425702,5.783866923220274e-07,1,UDP,443,38125,1006,1006,8.048,8.048,16.096
997,87,1722031320758654,539383040,1722031321298037.0,997,1,1.0,0.08726178535606821,5.789674018521793e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
998,1242,1722031320770830,541010944,1722031321311841.0,998,1,1.0,1.2444889779559118,5.795481113779772e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
999,1006,1722031320774019,542661376,1722031321316680.5,999,1,1.0,1.007007007007007,5.801288209067857e-07,1,UDP,443,38125,1006,1006,8.048,8.048,16.096
1000,87,1722031320774172,543574016,1722031321317746.0,1000,1,1.0,0.087,5.807095304368635e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1001,1242,1722031320780625,545195520,1722031321325820.5,1001,1,1.0,1.2407592407592407,5.812902399645748e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1002,1006,1722031320780625,546986752,1722031321327611.8,1002,1,1.0,1.003992015968064,5.818709494944037e-07,1,UDP,443,38125,1006,1006,8.048,8.048,16.096
1003,87,1722031320781183,547675904,1722031321328859.0,1003,1,1.0,0.08673978065802593,5.824516590244153e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1004,1242,1722031320787097,549191168,1722031321336288.2,1004,1,1.0,1.2370517928286853,5.830323685523331e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1005,1006,1722031320787097,550586880,1722031321337684.0,1005,1,1.0,1.0009950248756219,5.836130780822908e-07,1,UDP,443,38125,1006,1006,8.048,8.048,16.096
1006,87,1722031320787505,551246848,1722031321338751.8,1006,1,1.0,0.08648111332007952,5.841937876123586e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1007,1242,1722031320790340,552929280,1722031321343269.2,1007,1,1.0,1.2333664349553128,5.847744971412543e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1008,1006,1722031320790340,554451712,1722031321344791.8,1008,1,1.0,0.998015873015873,5.853552066711651e-07,1,UDP,443,38125,1006,1006,8.048,8.048,16.096
1009,87,1722031320790565,555122432,1722031321345687.5,1009,1,1.0,0.08622398414271557,5.859359162012881e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1010,1242,1722031320793618,556989440,1722031321350607.5,1010,1,1.0,1.2297029702970297,5.865166257300398e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1011,1006,1722031320793618,559120896,1722031321352739.0,1011,1,1.0,0.9950544015825915,5.870973352597388e-07,1,UDP,443,38125,1006,1006,8.048,8.048,16.096
1012,87,1722031320793790,559909376,1722031321353699.5,1012,1,1.0,0.08596837944664032,5.876780447898361e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1013,1242,1722031320801137,562277888,1722031321363415.0,1013,1,1.0,1.2260612043435342,5.882587543169419e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1014,1006,1722031320801138,564445952,1722031321365584.0,1014,1,1.0,0.9921104536489151,5.888394638466217e-07,1,UDP,443,38125,1006,1006,8.048,8.048,16.096
1015,87,1722031320801298,565433600,1722031321366731.5,1015,1,1.0,0.08571428571428572,5.894201733766496e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1016,1242,1722031320809656,567180032,1722031321376836.0,1016,1,1.0,1.2224409448818898,5.90000882903608e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1017,1006,1722031320812887,568690176,1722031321381577.2,1017,1,1.0,0.9891838741396264,5.905815924323989e-07,1,UDP,443,38125,1006,1006,8.048,8.048,16.096
1018,87,1722031320813106,569438464,1722031321382544.5,1018,1,1.0,0.08546168958742632,5.911623019624822e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1019,1242,1722031320819408,570962176,1722031321390370.2,1019,1,1.0,1.2188420019627086,5.91743011490208e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1020,1038,1722031320819408,572658432,1722031321392066.5,1020,1,1.0,1.0176470588235293,5.92323721020037e-07,1,UDP,443,38125,1038,1038,8.304,8.304,16.608
1021,87,1722031320819538,573731328,1722031321393269.2,1021,1,1.0,0.08521057786483839,5.929044305500347e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1022,1242,1722031320822726,575346432,1722031321398072.5,1022,1,1.0,1.2152641878669277,5.934851400787907e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1023,1038,1722031320822726,577113088,1722031321399839.0,1023,1,1.0,1.0146627565982405,5.94065849608591e-07,1,UDP,443,38125,1038,1038,8.304,8.304,16.608
1024,87,1722031320822832,577771520,1722031321400603.5,1024,1,1.0,0.0849609375,5.946465591387362e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1025,1242,1722031320829229,579330304,1722031321408559.2,1025,1,1.0,1.2117073170731707,5.952272686663952e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1026,1038,1722031320829229,580999168,1722031321410228.2,1026,1,1.0,1.0116959064327486,5.95807978196224e-07,1,UDP,443,38125,1038,1038,8.304,8.304,16.608
1027,87,1722031320829345,581717504,1722031321411062.5,1027,1,1.0,0.08471275559883155,5.963886877263407e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1028,1242,1722031320835739,583260160,1722031321418999.2,1028,1,1.0,1.2081712062256809,5.969693972539947e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1029,1038,1722031320835740,584764672,1722031321420504.8,1029,1,1.0,1.0087463556851313,5.97550106783875e-07,1,UDP,443,38125,1038,1038,8.304,8.304,16.608
1030,87,1722031320835920,585412096,1722031321421332.0,1030,1,1.0,0.08446601941747572,5.981308163139899e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1031,1242,1722031320843618,586979328,1722031321430597.2,1031,1,1.0,1.2046556741028127,5.987115258411705e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1032,1038,1722031320843619,588405760,1722031321432024.8,1032,1,1.0,1.005813953488372,5.992922353710726e-07,1,UDP,443,38125,1038,1038,8.304,8.304,16.608
1033,87,1722031320843828,589172480,1722031321433000.5,1033,1,1.0,0.08422071636011616,5.998729449011309e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1034,1242,1722031320853372,591736064,1722031321445108.0,1034,1,1.0,1.2011605415860735,6.004536544273072e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1035,1038,1722031320853372,593691648,1722031321447063.8,1035,1,1.0,1.0028985507246377,6.010343639570185e-07,1,UDP,443,38125,1038,1038,8.304,8.304,16.608
1036,87,1722031320853539,594666240,1722031321448205.2,1036,1,1.0,0.08397683397683398,6.01615073487013e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1037,1242,1722031320866190,596485120,1722031321462675.0,1037,1,1.0,1.197685631629701,6.021957830123457e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1038,1038,1722031320866190,598144768,1722031321464334.8,1038,1,1.0,1.0,6.027764925421528e-07,1,UDP,443,38125,1038,1038,8.304,8.304,16.608
1039,87,1722031320866351,599052800,1722031321465403.8,1039,1,1.0,0.08373435996150144,6.033572020721656e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1040,1242,1722031320872715,600827136,1722031321473542.2,1040,1,1.0,1.1942307692307692,6.039379115996984e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1041,1070,1722031320872715,602271488,1722031321474986.5,1041,1,1.0,1.0278578290105667,6.045186211295757e-07,1,UDP,443,38125,1070,1070,8.56,8.56,17.12
1042,87,1722031320872783,602949120,1722031321475732.0,1042,1,1.0,0.08349328214971209,6.050993306596976e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1043,1242,1722031320885562,604677120,1722031321490239.0,1043,1,1.0,1.1907957813998082,6.056800401849788e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1044,1070,1722031320885562,606355200,1722031321491917.2,1044,1,1.0,1.024904214559387,6.062607497147666e-07,1,UDP,443,38125,1070,1070,8.56,8.56,17.12
1045,87,1722031320885757,607104768,1722031321492861.8,1045,1,1.0,0.08325358851674641,6.068414592448119e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1046,1242,1722031320892035,609134848,1722031321501169.8,1046,1,1.0,1.187380497131931,6.074221687722592e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1047,1070,1722031320892035,610945536,1722031321502980.5,1047,1,1.0,1.0219675262655206,6.080028783019949e-07,1,UDP,443,38125,1070,1070,8.56,8.56,17.12
1048,87,1722031320892399,611775744,1722031321504174.8,1048,1,1.0,0.08301526717557252,6.085835878319472e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1049,1242,1722031320898581,613789952,1722031321512371.0,1049,1,1.0,1.1839847473784557,6.091642973594217e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1050,1070,1722031320898581,615363328,1722031321513944.2,1050,1,1.0,1.019047619047619,6.09745006889236e-07,1,UDP,443,38125,1070,1070,8.56,8.56,17.12
1051,87,1722031320898701,616196352,1722031321514897.2,1051,1,1.0,0.08277830637488107,6.103257164192688e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1052,1242,1722031320905098,618243840,1722031321523341.8,1052,1,1.0,1.1806083650190113,6.109064259466436e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1053,1070,1722031320908352,619971072,1722031321528323.0,1053,1,1.0,1.0161443494776827,6.114871354752422e-07,1,UDP,443,38125,1070,1070,8.56,8.56,17.12
1054,87,1722031320908435,620654080,1722031321529089.0,1054,1,1.0,0.0825426944971537,6.120678450053357e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1055,1242,1722031320919221,622461696,1722031321541682.8,1055,1,1.0,1.1772511848341232,6.126485545312209e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1056,1070,1722031320922430,624345600,1722031321546775.5,1056,1,1.0,1.0132575757575757,6.132292640597686e-07,1,UDP,443,38125,1070,1070,8.56,8.56,17.12
1057,87,1722031320922489,625234176,1722031321547723.2,1057,1,1.0,0.08230842005676443,6.138099735897904e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1058,1242,1722031320936872,627218944,1722031321564091.0,1058,1,1.0,1.173913043478261,6.1439068311431e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1059,1070,1722031320936872,629396992,1722031321566269.0,1059,1,1.0,1.0103871576959396,6.149713926438861e-07,1,UDP,443,38125,1070,1070,8.56,8.56,17.12
1060,87,1722031320937035,630222080,1722031321567257.0,1060,1,1.0,0.0820754716981132,6.15552102173886e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1061,1242,1722031320943373,632387072,1722031321575760.0,1061,1,1.0,1.1705937794533459,6.161328117011964e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1062,1070,1722031320943373,634208512,1722031321577581.5,1062,1,1.0,1.0075329566854991,6.167135212308939e-07,1,UDP,443,38125,1070,1070,8.56,8.56,17.12
1063,87,1722031320943555,634834688,1722031321578389.8,1063,1,1.0,0.08184383819379115,6.172942307609534e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1064,1242,1722031320954386,636342528,1722031321590728.5,1064,1,1.0,1.1672932330827068,6.178749402868751e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1065,1070,1722031320954386,637975296,1722031321592361.2,1065,1,1.0,1.0046948356807512,6.184556498166335e-07,1,UDP,443,38125,1070,1070,8.56,8.56,17.12
1066,87,1722031320954557,638625280,1722031321593182.2,1066,1,1.0,0.08161350844277673,6.190363593466826e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1067,1242,1722031320960935,640198912,1722031321601134.0,1067,1,1.0,1.1640112464854733,6.196170688741655e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1068,1070,1722031320960935,642196736,1722031321603131.8,1068,1,1.0,1.0018726591760299,6.201977784037873e-07,1,UDP,443,38125,1070,1070,8.56,8.56,17.12
1069,87,1722031320961358,642890496,1722031321604248.5,1069,1,1.0,0.0813844714686623,6.207784879337253e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1070,1242,1722031320964167,644959488,1722031321609126.5,1070,1,1.0,1.1607476635514018,6.213591974623054e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1071,1070,1722031320964167,646639616,1722031321610806.5,1071,1,1.0,0.9990662931839402,6.219399069920373e-07,1,UDP,443,38125,1070,1070,8.56,8.56,17.12
1072,87,1722031320964251,647693056,1722031321611944.0,1072,1,1.0,0.08115671641791045,6.225206165219642e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1073,1242,1722031320967427,649677312,1722031321617104.2,1073,1,1.0,1.1575023299161231,6.231013260504345e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1074,1070,1722031320967427,651073024,1722031321618500.0,1074,1,1.0,0.9962756052141527,6.236820355802649e-07,1,UDP,443,38125,1070,1070,8.56,8.56,17.12
1075,87,1722031320967530,651926528,1722031321619456.5,1075,1,1.0,0.08093023255813954,6.242627451102537e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1076,1242,1722031320975787,653687040,1722031321629474.0,1076,1,1.0,1.154275092936803,6.24843454636954e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1077,1070,1722031320975815,655182336,1722031321630997.2,1077,1,1.0,0.9935004642525533,6.254241641667325e-07,1,UDP,443,38125,1070,1070,8.56,8.56,17.12
1078,87,1722031320975923,656521472,1722031321632444.5,1078,1,1.0,0.08070500927643785,6.260048736965375e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1079,1242,1722031320983912,660090368,1722031321644002.2,1079,1,1.0,1.1510658016682114,6.265855832226628e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1080,1070,1722031320983912,662926336,1722031321646838.2,1080,1,1.0,0.9907407407407407,6.271662927519568e-07,1,UDP,443,38125,1070,1070,8.56,8.56,17.12
1081,87,1722031320984159,663943936,1722031321648103.0,1081,1,1.0,0.08048103607770583,6.277470022818216e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1082,1242,1722031320996370,665749248,1722031321662119.2,1082,1,1.0,1.1478743068391868,6.283277118070329e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1083,1070,1722031320999674,667246848,1722031321666920.8,1083,1,1.0,0.9879963065558633,6.289084213356e-07,1,UDP,443,38125,1070,1070,8.56,8.56,17.12
1084,87,1722031320999862,667883776,1722031321667745.8,1084,1,1.0,0.08025830258302583,6.294891308656175e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1085,1242,1722031321006199,669576960,1722031321675776.0,1085,1,1.0,1.144700460829493,6.300698403929983e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1086,1102,1722031321006199,671106560,1722031321677305.5,1086,1,1.0,1.014732965009208,6.306505499227542e-07,1,UDP,443,38125,1102,1102,8.816,8.816,17.632
1087,87,1722031321006398,671750144,1722031321678148.2,1087,1,1.0,0.08003679852805888,6.312312594527609e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1088,1242,1722031321012710,673488640,1722031321686198.8,1088,1,1.0,1.1415441176470589,6.318119689801225e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1089,1102,1722031321012711,675703296,1722031321688414.2,1089,1,1.0,1.0119375573921028,6.323926785096215e-07,1,UDP,443,38125,1102,1102,8.816,8.816,17.632
1090,87,1722031321012945,676477440,1722031321689422.5,1090,1,1.0,0.0798165137614679,6.329733880395627e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1091,1242,1722031321025083,678558464,1722031321703641.5,1091,1,1.0,1.1384051329055913,6.335540975646431e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1092,1102,1722031321025083,680177664,1722031321705260.8,1092,1,1.0,1.0091575091575091,6.341348070943534e-07,1,UDP,443,38125,1102,1102,8.816,8.816,17.632
1093,87,1722031321025327,680901632,1722031321706228.8,1093,1,1.0,0.07959743824336687,6.347155166243029e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1094,1242,1722031321038162,798281728,1722031321836443.8,1094,1,1.0,1.1352833638025595,6.352962261065695e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1095,1102,1722031321038162,800004608,1722031321838166.5,1095,1,1.0,1.006392694063927,6.358769356361952e-07,1,UDP,443,38125,1102,1102,8.816,8.816,17.632
1096,87,1722031321038351,800844032,1722031321839195.0,1096,1,1.0,0.07937956204379562,6.364576451660764e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1097,1242,1722031321044819,803079680,1722031321847898.8,1097,1,1.0,1.1321786690975388,6.370383546931176e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1098,1102,1722031321044820,804491776,1722031321849311.8,1098,1,1.0,1.0036429872495447,6.376190642228525e-07,1,UDP,443,38125,1102,1102,8.816,8.816,17.632
1099,87,1722031321045019,805202944,1722031321850222.0,1099,1,1.0,0.0791628753412193,6.381997737527728e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1100,1242,1722031321056238,807590144,1722031321863828.2,1100,1,1.0,1.1290909090909091,6.387804832779829e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1101,1102,1722031321056239,809858048,1722031321866097.0,1101,1,1.0,1.0009082652134422,6.393611928073933e-07,1,UDP,443,38125,1102,1102,8.816,8.816,17.632
1102,87,1722031321057112,811408896,1722031321868521.0,1102,1,1.0,0.07894736842105263,6.399419023367445e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1103,1242,1722031321062659,813885184,1722031321876544.2,1103,1,1.0,1.1260199456029012,6.405226118640113e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1104,1102,1722031321062659,815814144,1722031321878473.2,1104,1,1.0,0.9981884057971014,6.411033213935415e-07,1,UDP,443,38125,1102,1102,8.816,8.816,17.632
1105,87,1722031321063164,816569344,1722031321879733.2,1105,1,1.0,0.07873303167420814,6.416840309233197e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1106,1242,1722031321071768,818254336,1722031321890022.2,1106,1,1.0,1.1229656419529837,6.422647404497297e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1107,1134,1722031321071768,820107776,1722031321891875.8,1107,1,1.0,1.024390243902439,6.428454499792816e-07,1,UDP,443,38125,1134,1134,9.072,9.072,18.144
1108,87,1722031321072039,820916480,1722031321892955.5,1108,1,1.0,0.07851985559566788,6.434261595091214e-07,1,UDP,38125,443,87,87,0.696,0.696,1.392
1109,1242,1722031321078930,822768640,1722031321901698.8,1109,1,1.0,1.1199278629395852,6.440068690360944e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
1110,1134,1722031321078931,824412160,1722031321903343.2,1110,1,1.0,1.0216216216216216,6.445875785657189e-07,1,UDP,443,38125,1134,1134,9.072,9.072,18.144
1111,88,1722031321079409,825459712,1722031321904868.8,1111,1,1.0,0.07920792079207921,6.451682880953866e-07,1,UDP,38125,443,88,88,0.704,0.704,1.408
1112,1242,1722031321094913,827814912,1722031321922728.0,1112,1,1.0,1.1169064748201438,6.457489976189284e-07,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
