pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,src_port,dst_port,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps
41,313,1722031282603826,150220800,1722031282754046.8,41,1,1.0,7.634146341463414,2.3809091281099524e-08,1,UDP,1900,1900,313,313,2.504,2.504,5.008
42,352,1722031282603826,150955776,1722031282754781.8,42,1,1.0,8.380952380952381,2.4389800824530565e-08,1,UDP,1900,1900,352,352,2.816,2.816,5.632
43,384,1722031282603826,151622656,1722031282755448.8,43,1,1.0,8.930232558139535,2.4970510367962096e-08,1,UDP,1900,1900,384,384,3.072,3.072,6.144
44,313,1722031282603826,152284672,1722031282756110.8,44,1,1.0,7.113636363636363,2.5551219911393252e-08,1,UDP,1900,1900,313,313,2.504,2.504,5.008
45,372,1722031282603826,152931840,1722031282756757.8,45,1,1.0,8.266666666666667,2.613192945482419e-08,1,UDP,1900,1900,372,372,2.976,2.976,5.952
46,378,1722031282705336,153682176,1722031282859018.2,46,1,1.0,8.217391304347826,2.6712638996678433e-08,1,UDP,1900,1900,378,378,3.024,3.024,6.048
47,366,1722031282705337,154449664,1722031282859786.8,47,1,1.0,7.787234042553192,2.7293348540072307e-08,1,UDP,1900,1900,366,366,2.928,2.928,5.856
48,372,1722031282705337,155174400,1722031282860511.5,48,1,1.0,7.75,2.7874058083466366e-08,1,UDP,1900,1900,372,372,2.976,2.976,5.952
49,81,1722031291994231,390723840,1722031292384954.8,49,1,1.0,1.653061224489796,2.8454767469490445e-08,1,UDP,56578,53,81,81,0.648,0.648,1.296
50,158,1722031292331300,897725696,1722031293229025.8,50,1,1.0,3.16,2.9035476995452093e-08,1,UDP,53,56578,158,158,1.264,1.264,2.528
51,307,1722031292985990,417660160,1722031293403650.2,51,1,1.0,6.019607843137255,2.9616186532357876e-08,1,TCP,56018,443,307,307,2.456,2.456,4.912
52,334,1722031293356307,924122112,1722031294280429.0,52,1,1.0,6.423076923076923,3.019689605683317e-08,1,TCP,443,56018,334,334,2.672,2.672,5.344
53,66,1722031293356368,928389376,1722031294284757.5,53,1,1.0,1.2452830188679245,3.0777605596310284e-08,1,TCP,56018,443,66,66,0.528,0.528,1.056
54,46,1722031294891629,487084544,1722031295378713.5,54,1,1.0,0.8518518518518519,3.135831511594229e-08,1,,0,0,46,46,0.368,0.368,0.736
55,90,1722031296837336,544690176,1722031297382026.2,55,1,1.0,1.6363636363636365,3.1939024617970377e-08,1,TCP,443,56018,90,90,0.72,0.72,1.44
56,66,1722031296837393,545918208,1722031297383311.2,56,1,1.0,1.1785714285714286,3.251973415645466e-08,1,TCP,56018,443,66,66,0.528,0.528,1.056
57,94,1722031296837715,547114752,1722031297384829.8,57,1,1.0,1.6491228070175439,3.3100443694933594e-08,1,TCP,56018,443,94,94,0.752,0.752,1.504
58,46,1722031297161228,547659776,1722031297708887.8,58,1,1.0,0.7931034482758621,3.3681153227102955e-08,1,,0,0,46,46,0.368,0.368,0.736
59,66,1722031297181720,549628928,1722031297731349.0,59,1,1.0,1.11864406779661,3.4261862765054394e-08,1,TCP,443,56018,66,66,0.528,0.528,1.056
60,90,1722031306974910,270106624,1722031307245016.5,60,1,1.0,1.5,3.484257211095117e-08,1,,0,0,90,90,0.72,0.72,1.44
61,307,1722031308993551,389344256,1722031309382895.2,61,1,1.0,5.032786885245901,3.5423281602156165e-08,1,TCP,56018,443,307,307,2.456,2.456,4.912
62,66,1722031309330139,891769344,1722031310221908.2,62,1,1.0,1.064516129032258,3.600399111907577e-08,1,TCP,443,56018,66,66,0.528,0.528,1.056
63,329,1722031309330139,896954880,1722031310227094.0,63,1,1.0,5.222222222222222,3.6584700653144244e-08,1,TCP,443,56018,329,329,2.632,2.632,5.264
64,66,1722031309373208,901004032,1722031310274212.0,64,1,1.0,1.03125,3.716541018630422e-08,1,TCP,56018,443,66,66,0.528,0.528,1.056
65,71,1722031312188915,523115520,1722031312712030.5,65,1,1.0,1.0923076923076922,3.774611966702939e-08,1,UDP,41295,53,71,71,0.568,0.568,1.136
66,1399,1722031312190507,536666880,1722031312727174.0,66,1,1.0,21.196969696969695,3.832682920003125e-08,1,UDP,38125,443,1399,1399,11.192,11.192,22.384
67,103,1722031312200078,538514176,1722031312738592.2,67,1,1.0,1.537313432835821,3.8907538733107074e-08,1,UDP,53,41295,103,103,0.824,0.824,1.648
68,1399,1722031312567879,69266944,1722031312637146.0,68,1,1.0,20.573529411764707,3.948824826876332e-08,1,UDP,38125,443,1399,1399,11.192,11.192,22.384
69,1242,1722031312572960,70198272,1722031312643158.2,69,1,1.0,18.0,4.0068957801987585e-08,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
70,1242,1722031312572960,72889856,1722031312645849.8,70,1,1.0,17.742857142857144,4.064966733528619e-08,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
71,1399,1722031312575391,74812416,1722031312650203.5,71,1,1.0,19.704225352112676,4.1230376868543184e-08,1,UDP,38125,443,1399,1399,11.192,11.192,22.384
72,1399,1722031312592927,76347648,1722031312669274.8,72,1,1.0,19.430555555555557,4.181108640143989e-08,1,UDP,38125,443,1399,1399,11.192,11.192,22.384
73,86,1722031312592977,77022976,1722031312670000.0,73,1,1.0,1.178082191780822,4.239179593477537e-08,1,UDP,38125,443,86,86,0.688,0.688,1.376
74,304,1722031312603619,78035712,1722031312681654.8,74,1,1.0,4.108108108108108,4.297250546783762e-08,1,UDP,1900,1900,304,304,2.432,2.432,4.864
75,313,1722031312603620,78777856,1722031312682397.8,75,1,1.0,4.173333333333333,4.3553215001167984e-08,1,UDP,1900,1900,313,313,2.504,2.504,5.008
76,376,1722031312607548,79491840,1722031312687039.8,76,1,1.0,4.947368421052632,4.4133924534397916e-08,1,UDP,1900,1900,376,376,3.008,3.008,6.016
77,313,1722031312607548,80135936,1722031312687684.0,77,1,1.0,4.064935064935065,4.471463406772853e-08,1,UDP,1900,1900,313,313,2.504,2.504,5.008
78,352,1722031312607548,80974080,1722031312688522.0,78,1,1.0,4.512820512820513,4.529534360105361e-08,1,UDP,1900,1900,352,352,2.816,2.816,5.632
79,384,1722031312607549,82036992,1722031312689586.0,79,1,1.0,4.860759493670886,4.587605313437211e-08,1,UDP,1900,1900,384,384,3.072,3.072,6.144
80,313,1722031312607549,82742016,1722031312690291.0,80,1,1.0,3.9125,4.6456762667699576e-08,1,UDP,1900,1900,313,313,2.504,2.504,5.008
81,372,1722031312607549,83387904,1722031312690937.0,81,1,1.0,4.592592592592593,4.7037472201028173e-08,1,UDP,1900,1900,372,372,2.976,2.976,5.952
82,1242,1722031312615399,85233152,1722031312700632.2,82,1,1.0,15.146341463414634,4.76181817341061e-08,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
83,69,1722031312615400,85854976,1722031312701255.0,83,1,1.0,0.8313253012048193,4.8198891267431425e-08,1,UDP,443,38125,69,69,0.552,0.552,1.104
84,69,1722031312615400,86445312,1722031312701845.2,84,1,1.0,0.8214285714285714,4.8779600800757257e-08,1,UDP,443,38125,69,69,0.552,0.552,1.104
85,94,1722031312615400,87384320,1722031312702784.2,85,1,1.0,1.1058823529411765,4.9360310334072686e-08,1,UDP,443,38125,94,94,0.752,0.752,1.504
86,69,1722031312615400,88043264,1722031312703443.2,86,1,1.0,0.8023255813953488,4.9941019867395606e-08,1,UDP,443,38125,69,69,0.552,0.552,1.104
87,1399,1722031312615908,89617152,1722031312705525.2,87,1,1.0,16.080459770114942,5.052172940067634e-08,1,UDP,38125,443,1399,1399,11.192,11.192,22.384
88,1399,1722031312637272,91202304,1722031312728474.2,88,1,1.0,15.897727272727273,5.110243893333642e-08,1,UDP,38125,443,1399,1399,11.192,11.192,22.384
89,68,1722031312645330,91861504,1722031312737191.5,89,1,1.0,0.7640449438202247,5.168314846640816e-08,1,UDP,443,38125,68,68,0.544,0.544,1.088
90,68,1722031312649544,92452864,1722031312741996.8,90,1,1.0,0.7555555555555555,5.226385799959274e-08,1,UDP,443,38125,68,68,0.544,0.544,1.088
91,660,1722031312655144,93736448,1722031312748880.5,91,1,1.0,7.252747252747253,5.284456753271031e-08,1,UDP,38125,443,660,660,5.28,5.28,10.56
92,366,1722031312706398,94382592,1722031312800780.5,92,1,1.0,3.9782608695652173,5.342527706442662e-08,1,UDP,1900,1900,366,366,2.928,2.928,5.856
93,372,1722031312706399,95059712,1722031312801458.8,93,1,1.0,4.0,5.400598659771433e-08,1,UDP,1900,1900,372,372,2.976,2.976,5.952
94,68,1722031312811819,575200256,1722031313387019.2,94,1,1.0,0.723404255319149,5.45866961124614e-08,1,UDP,443,38125,68,68,0.544,0.544,1.088
95,69,1722031312811819,577383424,1722031313389202.5,95,1,1.0,0.7263157894736842,5.5167405645502746e-08,1,UDP,443,38125,69,69,0.552,0.552,1.104
96,1242,1722031313221717,578868224,1722031313800585.2,96,1,1.0,12.9375,5.574811516529542e-08,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
